"Reference:",""
"Date:","Thu Jul 06 2023 11:54:32 GMT+0200 (Central European Summer Time)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"C1","1","MC0201N101J250CT","Multicomp","SMD Multilayer Ceramic Capacitor, 0201 [0603 Metric], 100 pF, 25 V, ± 5%, C0G / NP0, MC Series"
"C2","1","0805X226K6R3CT","Walsin","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 MLCC X5R 22 uF +/- 10% 6.3 V T&amp;R GP"
"C3, C4","2","1206X226K160CT","Walsin","SMD Multilayer Ceramic Capacitor, 1206 [3216 Metric], 22 µF, 16 V, ± 10%, X5R"
"C5","1","0603N100F101CT","Walsin","Capacitor: ceramic; MLCC; 10pF; 100V; C0G; ±1%; SMD; 0603"
"D1","1","TPD1E0B04DPYR","Texas Instruments","19V Clamp 1.7A (8/20µs) Ipp Tvs Diode Surface Mount 2-X1SON (1x.60)"
"D2, D4","2","155060AS75300","Wurth","Amber 605nm LED Indication - Discrete 2V 2-SMD, No Lead"
"D3","1","TPD2E2U06QDCKRQ1","Texas Instruments","12.4V (Typ) Clamp 5.5A (8/20µs) Ipp Tvs Diode Surface Mount SC-70-3"
"J1","1","USB4120-03-C","GCT","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Through Hole"
"J2, J3","2","825433-8","TE Connectivity / AMP","8 Positions Header, Unshrouded, Breakaway Connector 0.100"" (2.54mm) Through Hole Gold"
"J4, J5","2","MMCX6252N1-3GT30G-50","Amphenol","Rf / Coaxial Connector, Mmcx Coaxial, Right Angle Jack, Through Hole Right Angle, 50 Ohm"
"L1, L2","2","744786139A","Wurth Elektronik","39nH Unshielded Multilayer Inductor 400mA 700mOhm Max 0603 (1608 Metric)"
"L3","1","744383430047","Wurth","Size 2010; L = 0.47 µH ±30%; IR = 2.3 A; Isat = 5.25 A; RDCmax = 63 mΩ"
"R1, R2","2","WR06X5101FTL","Walsin","RESISTOR, THICK FILM, 5K1, 1%, 75V, 0603"
"R5, R7","2","WR06X104 JTL","Walsin","SMD Chip Resistor, 0603 [1608 Metric], 100 kohm, WR06 Series, 75 V, Thick Film, 100 mW"
"R6","1","WR06X223 JTL","Walsin","22 kOhms ±5% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)  Thick Film"
"U1","1","mosaic-X5","Septentrio Inc.","Mosaic Hardware Manual"
"U2","1","KCZ1210AH900HRTD25","TDK Corporation","2 Line Common Mode Choke Surface Mount 90 Ohms @ 100 MHz 100mA DCR 1.75Ohm"
"U3","1","TPS2116DRLR","Texas Instruments","1.6-V to 5.5-V, 40-mΩ, 2.5-A, low-IQ, priority power multiplexer"
"U4","1","TPS628501DRLR","Texas Instruments","Buck Switching Regulator IC Positive Adjustable 0.6V 1 Output 1A SOT-583"
"U5","1","SN74LVTH125RGYRG4","Texas Instruments","SMD IC 74LVTH125RGYP QFN14"
"R3, R4, R8, R9","4","WR06X103JTR","Walsin","10kOmh resistor"
"R10, R11","2","WR06X331JTR","Walsin","330Ohm resistor"
